idx,reduced_embeddings
107,"[0.0, 4.407524585723877, 0.0, 0.0, 2.3842525482177734, 2.8028860092163086, 2.0292248725891113, 0.0, 3.049487590789795, 1.4092161655426025, 0.0, 0.0, 0.17422717809677124, 0.0, 1.6448954343795776, 1.6384514570236206, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9023911952972412, 0.0, 0.0, 0.0, 0.0, 0.731282114982605, 0.0, 0.0, 0.0, 2.6182215213775635, 0.0, 3.528308868408203, 0.0, 4.165907859802246, 0.0, 3.8377442359924316, 0.0, 0.0, 0.0, 2.959292411804199, 5.067580223083496, 0.0, 2.4680228233337402, 0.0, 0.0, 0.3303714096546173, 0.0, 0.8906441926956177, 0.0, 0.0, 2.469651222229004, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2108354568481445, 0.0, 0.0, 0.0, 0.05783189833164215, 1.636139154434204, 0.7942374348640442]"
400,"[0.0, 4.194023132324219, 0.0, 0.0, 2.304656744003296, 2.6539463996887207, 1.8869233131408691, 0.0, 2.9132392406463623, 1.2847007513046265, 0.0, 0.0, 0.08356820046901703, 0.0, 1.4837512969970703, 1.600356101989746, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8712131977081299, 0.0, 0.0, 0.0, 0.0, 0.7568584680557251, 0.0, 0.0, 0.0, 2.5737533569335938, 0.0, 3.2715015411376953, 0.0, 3.8483448028564453, 0.0, 3.7914204597473145, 0.0, 0.0, 0.0, 2.9688467979431152, 4.905781269073486, 0.0, 2.381911277770996, 0.0, 0.0, 0.2931833565235138, 0.0, 0.7037111520767212, 0.0, 0.0, 2.356184959411621, 0.0, 0.0, 0.0, 0.0, 0.0, 4.001721382141113, 0.0, 0.0, 0.0, 0.10672526061534882, 1.4687789678573608, 0.8204804062843323]"
569,"[0.0, 4.316747665405273, 0.0, 0.0, 2.345567226409912, 2.927748680114746, 1.9408670663833618, 0.0, 3.0396385192871094, 1.441254734992981, 0.0, 0.0, 0.13923019170761108, 0.0, 1.6379445791244507, 1.6079081296920776, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8469103574752808, 0.0, 0.0, 0.0, 0.0, 0.8172623515129089, 0.0, 0.0, 0.0, 2.621314525604248, 0.0, 3.3869810104370117, 0.0, 4.037626266479492, 0.0, 3.8019838333129883, 0.0, 0.0, 0.0, 3.0769245624542236, 4.943448543548584, 0.0, 2.5224995613098145, 0.0, 0.0, 0.4040929675102234, 0.0, 0.8213915824890137, 0.0, 0.0, 2.421504497528076, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2727131843566895, 0.0, 0.0, 0.0, 0.1477908343076706, 1.729638934135437, 0.8050076365470886]"
411,"[0.0, 4.266605377197266, 0.0, 0.0, 2.4273948669433594, 2.842787742614746, 1.9790767431259155, 0.0, 2.957137107849121, 1.391749382019043, 0.0, 0.0, 0.1427147537469864, 0.0, 1.6126290559768677, 1.6363215446472168, 0.0, 0.0, 0.0, 0.0, 0.0, 1.857174277305603, 0.0, 0.0, 0.0, 0.0, 0.7651119232177734, 0.0, 0.0, 0.0, 2.6383824348449707, 0.0, 3.4503488540649414, 0.0, 3.9930343627929688, 0.0, 3.8194756507873535, 0.0, 0.0, 0.0, 3.013505458831787, 4.983161926269531, 0.0, 2.472116470336914, 0.0, 0.0, 0.369645357131958, 0.0, 0.752822995185852, 0.0, 0.0, 2.39815616607666, 0.0, 0.0, 0.0, 0.0, 0.0, 4.141519546508789, 0.0, 0.0, 0.0, 0.12665647268295288, 1.5786536931991577, 0.8241590261459351]"
90,"[0.0, 4.156505107879639, 0.0, 0.0, 2.2516324520111084, 2.810868740081787, 1.938347339630127, 0.0, 2.914320230484009, 1.3193851709365845, 0.0, 0.0, 0.07140271365642548, 0.0, 1.4167542457580566, 1.5314432382583618, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8701672554016113, 0.0, 0.0, 0.0, 0.0, 0.8217756152153015, 0.0, 0.0, 0.0, 2.6256160736083984, 0.0, 3.255103349685669, 0.0, 3.809258222579956, 0.0, 3.727756977081299, 0.0, 0.0, 0.0, 3.0376973152160645, 4.851931571960449, 0.0, 2.439453601837158, 0.0, 0.0, 0.37174105644226074, 0.0, 0.5913865566253662, 0.0, 0.0, 2.233419418334961, 0.0, 0.0, 0.0, 0.0, 0.0, 4.015799522399902, 0.0, 0.0, 0.0, 0.12756240367889404, 1.452535629272461, 0.8411003351211548]"
441,"[0.0, 4.447953224182129, 0.0, 0.0, 2.508103132247925, 2.7842698097229004, 2.119205951690674, 0.0, 2.997370958328247, 1.4380104541778564, 0.0, 0.0, 0.1679667830467224, 0.0, 1.7509759664535522, 1.7654365301132202, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9098970890045166, 0.0, 0.0, 0.0, 0.0, 0.7054575681686401, 0.0, 0.0, 0.0, 2.6342415809631348, 0.0, 3.645040512084961, 0.0, 4.2808074951171875, 0.0, 3.8901164531707764, 0.0, 0.0, 0.0, 2.967073440551758, 5.0901408195495605, 0.0, 2.491593837738037, 0.0, 0.0, 0.37811627984046936, 0.0, 0.9026021957397461, 0.0, 0.0, 2.4898416996002197, 0.0, 0.0, 0.0, 0.0, 0.0, 4.188210487365723, 0.0, 0.0, 0.0, 0.06450281292200089, 1.6869215965270996, 0.7716947793960571]"
670,"[0.0, 4.233663558959961, 0.0, 0.0, 2.208061695098877, 3.051626682281494, 1.868917465209961, 0.0, 2.9829535484313965, 1.4618922472000122, 0.0, 0.0, 0.017719030380249023, 0.0, 1.4852879047393799, 1.5133024454116821, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7851307392120361, 0.0, 0.0, 0.0, 0.0, 0.8680338859558105, 0.0, 0.0, 0.0, 2.669947385787964, 0.0, 3.2761547565460205, 0.0, 3.8808374404907227, 0.0, 3.7260727882385254, 0.0, 0.0, 0.0, 3.155242443084717, 4.869400501251221, 0.0, 2.599919557571411, 0.0, 0.0, 0.3844382166862488, 0.0, 0.5399042367935181, 0.0, 0.0, 2.2915961742401123, 0.0, 0.0, 0.0, 0.0, 0.0, 4.250327110290527, 0.0, 0.0, 0.0, 0.1510077714920044, 1.5768849849700928, 0.8233282566070557]"
740,"[0.0, 4.311587810516357, 0.0, 0.0, 2.3989412784576416, 2.8858301639556885, 1.9559192657470703, 0.0, 2.9842610359191895, 1.4154345989227295, 0.0, 0.0, 0.03706049919128418, 0.0, 1.5899944305419922, 1.681436538696289, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9666316509246826, 0.0, 0.0, 0.0, 0.0, 0.7469656467437744, 0.0, 0.0, 0.0, 2.645847797393799, 0.0, 3.504065990447998, 0.0, 4.0912089347839355, 0.0, 3.8480496406555176, 0.0, 0.0, 0.0, 3.166515350341797, 4.969601631164551, 0.0, 2.595860004425049, 0.0, 0.0, 0.39268752932548523, 0.0, 0.7341569662094116, 0.0, 0.0, 2.4224565029144287, 0.0, 0.0, 0.0, 0.0, 0.0, 4.225126266479492, 0.0, 0.0, 0.0, 0.1764145791530609, 1.621701717376709, 0.7860530018806458]"
327,"[0.0, 4.093224048614502, 0.0, 0.0, 2.1721410751342773, 2.608035087585449, 1.8404672145843506, 0.0, 2.841529607772827, 1.4584243297576904, 0.0, 0.0, 0.035146817564964294, 0.0, 1.5549466609954834, 1.6002752780914307, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7701680660247803, 0.0, 0.0, 0.0, 0.0, 0.7522778511047363, 0.0, 0.0, 0.0, 2.5596187114715576, 0.0, 3.2284469604492188, 0.0, 3.835076332092285, 0.0, 3.5113155841827393, 0.0, 0.0, 0.0, 2.915940761566162, 4.572500228881836, 0.0, 2.479264974594116, 0.0, 0.0, 0.4049016237258911, 0.0, 0.6963496208190918, 0.0, 0.0, 2.3093647956848145, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9729084968566895, 0.0, 0.0, 0.0, 0.06404054164886475, 1.577139973640442, 0.7570654153823853]"
572,"[0.0, 4.21363639831543, 0.0, 0.0, 2.335728406906128, 2.8910880088806152, 1.8801493644714355, 0.0, 2.9387168884277344, 1.3494853973388672, 0.0, 0.0, 0.05196264386177063, 0.0, 1.5225932598114014, 1.5864531993865967, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8518469333648682, 0.0, 0.0, 0.0, 0.0, 0.8260229825973511, 0.0, 0.0, 0.0, 2.598435878753662, 0.0, 3.329914093017578, 0.0, 3.9226033687591553, 0.0, 3.7577896118164062, 0.0, 0.0, 0.0, 3.0457401275634766, 4.854335308074951, 0.0, 2.484105110168457, 0.0, 0.0, 0.409515917301178, 0.0, 0.7068418264389038, 0.0, 0.0, 2.336533308029175, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1524658203125, 0.0, 0.0, 0.0, 0.18681961297988892, 1.6070313453674316, 0.7893916964530945]"
