idx,sentence
834,"For instance when the drop height was 3.5m, the car only made it to the end when the hill height was 2m."
303,The law of conservation of energy is when the cart stays at the same speed for a period of time.
782,"Next, we tried 4 meters and got 1955J of PE and 0J of KE at the top, then at the bottom 1954J of KE and 1J PE."
589,"This shows that the greater the height of the initial drop, the greater the PE at the top of the drop, the KE at the bottom, and the TE."
122,"This change occurs due to the cart's increased speed as it moves downhill, which is caused by its mass."
617,I tested this zero friction that is not real and cant happen
258,Mass of the cart is also very important.
194,When i changed the weight to 45 kg the PE was 2213 at the top.
321,The reason I said the height of your intial drop should be so tall is so you can get the most energy out of it and it will be more fun to to ride.
384,(The mass doesn't affect the ability or inability to get over hills so it won't harm the coaster experience.)
798,"For example, when I tested the drop height of 4 meters, the PE was 1955 but when I increased the drop to 5 meters the PE increased meaning it was able to go up our 4 meter hill and go through loops."
392,"Proof of this is in the ""Add a Hill"" experiment."
343,As you can see the greater height allowed for the potential energy to change into kinetic energy with more than the smaller height amount.
138,When the car mass was 40kg the total energy was 1958 J. when the car mass was 60kg the total energy was 2937 J. at the initial drop its a PE and at the bottom of the drop it is mostly KE with a couple PE J.
633,"Starting from the steep initial drop, you'll start off pretty fast and then you'll go through a loop."
340,"According to my data when the initial drop was 3m the amount of potential energy there was, was 1466J compared to the 5m initial drop height which was 2932 J of potential energy."
498,"With a 5m drop our simulations showed that the PE was 2932 with a 60kg cart, we only tested the drop height we did not test a full ride or add anything else."
771,"In a different test when the initial height was 4 m, the PE was 1,955 J, then the bottom height being 0 m, the PE was 1 J."
119,"The greater the potential energy, the greater the kinetic energy, resulting in a greater effect on the total amount of energy."
13,so starting with a higher amount of energy means you'll end with that energy.
468,When a car is dropped at 3.50m the PE was at 1710j and the KE was at 0j.
113,"Based on research, it has been determined that the most efficient height for a roller coaster design is an initial height of 5.00."
470,Once the car gets to the bottom of the roller coaster the KE is at 1710j and the PE is at 0j.
102,"At the top of the initial drop, the potential energy would be 2243, while the kinetic energy would be at 0."
708,"With a car mass of 40 kilograms, the car had 1,959 joules of total energy throughout the ride."
475,The car that weighed 60 kg had 2642j.
251,"E1: There are certain factors to consider, the mass of the cart and the height of the drop and hill."
410,The ride would move through twists and turns giving the ride around 2250J potential energy.
681,"This run had a total energy of 2,254 joules."
39,by making it so its 50kg you get the benefit of more energy but don't have to worry as much on the friction.
818,"When I increased the height to 5m, the KE increased to 2442 Joules."
103,"As the cart starts to move down the hill, the kinetic energy would be 2243, and the potential energy would be 0."
248,"In conclusion, to make a roller coaster using physics, you must include:
- Initial drop."
650,"This is because the car had converted all 2,558 joules of kinetic energy back to potential energy before the car could even make it to the top of the hill."
726,for example our data shows that when the hill is 3 meters the cart will make it up the hill with an initial drop height of 5 meters.
292,I came up with is the ride will have a 4.05(m) release height.
173,THANK YOU
518,The kinetic energy at the bottom was 977 J but while it was at the top it was zero.
293,At the top of the release drop the PE will be at 1585(J) and the KE will be at 0(J).
227,Roller coasters need some way to get energy to make it to the end of it.
234,"Once the roller coaster starts moving down your initial drop, that's when things start to get fun."
497,"In a frictionless world the PE and KE would be the same at the bottom of the drop, we saw this in our simulations."
697,"With the same drop height but with a hill that's 5 meters tall, the coaster car had 0 joules of kinetic energy before it even made it to the top."
128,"E1: In order to have a safe and exiting ride you will need to have an initial drop, a hill, and mass and energy."
781,Then at the bottom the KE was 1456J and PE was 1.
3,"for example when getting data at the top of the drop with the height of 2 meter the PE was at 977 joules of energy at the top, with the KE of 0 joules."
811,"To fine the conservation of KE is, mass times speed times speed divide by two."
377,"proof of this is in the ""Add a Hill"" experiment."
404,Then the ride would start to move backward back through the 360 turn and back through the loop and back to where they started.
599,All of these trials were tested on a frictionless track.
843,"Next, I noticed that PE+KE=TE."
151,The potential energy is the energy that is being stored in an object.
669,"At the top of an initial drop of 2 meters, the car had 1,134 joules of potential energy and 0 joules of kinetic."
653,"In conclusion, my roller coaster design will be really fun, plus the car will be able to make it to the end without backtracking at the same time."
38,the 50kg had 2443. the 60kg had 2932 joules.
450,All of these tests were done in a friction less environment.
250,"(If included)
- Make sure the car gets enough energy to make it through the end."
590,"Also, I would recommend a hill height of 3.5 meters off the ground."
57,"In conclusion as explained through the data, for the best roller coaster results we suggest an initial drop of 5 meters, a hill height of 3.75 m, and a car mass of 60 kg, the riders will be safe, thrilled, and happy with their roller coaster experience!"
365,This was proven in our simulation when the mass was 50 kg and the TE was 2445 J and the mass was 60 kg and the TE was 2934 J.
131,When the height of the hill was 3.20 (lower) the car went over the hill.
615,The relationship between drop height and hill height because the hill height is when it is at the very top and the drop height is when it is droping down.
164,The hill going up is going up at a 90 degree angle and will flip going into a loop there will be no PE but lots of KE.
508,With a 5m drop our simulations showed that the PE was 2932 with a 60kg cart this is because mass and energy are related.
501,PE transfers to KE when the cart is moving.
412,then the ride would go through a 360-turn bringing back all the potential energy to then go into a 35ft hill.
479,When you are building the new roller coaster make sure that the hill height is smaller than the drop.
735,For example in our data when the mass was 40kg the total energy was 1955j but when we had a mass of 60kg the total energy was 2933.
232,"The initial drop is the starting point, the higher it is, then its a better chance at making it to the end."
666,This means the car will be moving as fast as it ever has.
115,It is important to ensure that the hill height is not greater than the hill itself.
558,"At the bottom of the drop pe is 1 and ke is 2930 Throughout the ride, the total energy remains the same yet the energy just changes forms."
93,"E1R: Dear Gonzales family,we have come up with the best possible design for your coaster.We have figured out the best way to make sure the coaster will be safe but also fun."
672,"My roller coaster design has a high drop height that will maximize the amount of kinetic energy, therefore speed and fun, during the ride."
301,The car changes from PE to KE so it can slow down when going downhill and then gets more PE the get speed to go back up.
51,To get over the hill you need a large amount of Kinetic Energy and to get that Kinetic Energy you have to start with that same amount of potential energy which you can only get from the initial drop.
285,For us to build this roller coaster we need some safety requirements.Some of these will be or initial drop height or hill height even the weight of our car these will make the energy change and be bigger and smaller.
444,The height of my hill was 4 meters because it was the highest I could have before it wouldn't make it over the hill because of the height.
7,or into other types of energy like sound and or heat.
810,To find the PE you have to times the mass and the height times 9.8.
561,The drop height of my roller coaster is 4.15 meters.
799,When I tested the roller coaster the PE and the KE were almost always stayed the same.
578,For example the 3.98 m roller coaster will have a 1946 J of energy but the 5.00 m roller coaster had 2443 so that proves the higher the roller coaster the bigger the energy and vise versa.
754,"Keep in mind that the tests we are doing are in a frictionless environment, so this data wouldn't be the same as if it was in the real world."
429,"This is because there is more of the object going down the hill, which increases energy and therefore speed."
473,The car that had the most mass had more total energy than the cars with a smaller mass.
144,when the height of the hill was 5 (same) the car didn't go over the hill.
354,"I know that because when my simulation was at 4 meters, the PE at the top was 1564 Joules and the KE at the bottom was 1563 Joules."
367,"I know that because when my simulation was at 4 meters, the PE at the top was 1564 Joules."
792,"For example when we used 40kg for weight the PE was 1955J, at the initial drop, and the 1951J of KE at the bottom of the drop."
172,I hope you pick my roller coaster.
214,"Once the cart starts to move down, both the PE and KE start to decrease and increase."
53,Our most recent study was investigating which mass for the car would be the best at providing energy.
478,This means that we should start our roller coaster at a higher drop.
616,That the lighter the mass is it will have a better PE because it weighs less.
104,These two forms of energy have a significant impact on the total amount of energy.
844,"No matter what, the TE remained the same throughout the entire trial."
775,"Then in a different test where the mass was 50 kg and the mass was 2,446 J."
371,"Within the drop, those roles were reversed and the end PE was 1 J and the end KE was 1172 J."
208,"Once the roller coaster starts moving down your initial drop, that's when things start to get fun."
709,"With car mass set to 60 kilograms, the car had 2,939 joules of total energy."
171,There will be no phone allowed and we will hold them tight for the m in compartments behind the ticket counter.
29,that's why when the cart got to the bottom the ke was 977 joules for the first trial and 2442 joules for the second.
181,On the hill there will be very little PE but a lot of KE.
196,People will need safety goggles and tight safety bars to hold them in.
438,"At the bottom of the 5 meters the KE was 2442 Joules, and the drop height of 4 had a KE of 1954 Joules."
715,"Plus, we've implicitly seen how the roller coaster can be fun for visitors to your park."
139,"My roller coaster design will be exiting because it will be fast have hills, and will make it to the end of the ride."
651,"My roller coaster design has a drop height greater than the height of the loop, so it will be able to make it after the loop."
238,Both the PE and KE are measured in J(Joules).
130,The height of the initial drop was 5.
841,E1R: The drop height of my roller coaster design is 5 meters.
120,"If a coaster cart with a mass of 60 begins to move downhill, there is a change in both its kinetic and potential energy."
710,That's 980 more joules of total energy than the run with 40 kilograms.
693,"If the hill height is equal to or higher than the drop height, the car won't be able to make it to the end of the ride."
481,Also the more the car weighs the more total energy it will have.
195,"At the bottom the KE was 2208 with a total energy of 2213

The roller coaster will be about 2 minutes long and i will charge 11 dollars a person."
108,"This change occurs due to the cart's increased speed as it moves downhill, which is caused by its mass."
295,"The total energy changes from PE to KE, Many times throughout the ride."
764,"While just testing with the initial drop of 5 m, at the top of the initial drop total energy was 2,443 J."
459,The higher the drop point affects how much PE and KE you have while on the ride.
793,"On the other hand a 60kg cart had 2933J of PE at the initial drop, 2927J of KE at the bottom and the total energy being 2933J."
812,E1: The drop height of my roller coaster design is 5 meters.
198,I hope you pick my roller coaster.
298,"E1R: Dear, the Gonzales Family"
688,This is because the initial drop height is higher than the highest point along the track.
517,While at the bottom it was 0 J.
610,E1: The drop height when changed changes the PE for example when i had a release height of 5 meters beside 4 meters the 5 meter one had a higher PE because the higher you go up the better PE it has.
336,E1R: My recommendation to you Gonzales family is you make your initial drop height 5m tall.
790,"We decided to go with 3 meters because at the top of the hill the PE was 1471J and KE was 975J with a total of 2446J, making the cart able to go over the hill."
457,You will have to follow the Law of Conservation of Energy.
37,the trial with 40kg had 1955 joules of TE.
414,Then the ride would move backward through the track bringing back all the total energy that was used to try to make it up the hill.
397,If I were to design a roller coaster for Gonzales Park.
731,For example in our data when the hill height was 5m the PE at the top of the hill was 2449j but then when the cart gets to the top of the hill not all the KE transfers into PE.
403,And then a 360-degree turn and then go into a hill which the ride would not be able to go up.
751,We decided to do 5 m since that is the highest height we could do.
766,"In a different test where the initial drop was 4 m, the total energy at the top of the initial drop was 1,955 J, then at the bottom of the initial drop the total energy was 1,955 J."
603,This means that there will be less and less PE and KE as the ride goes on.
291,"The first thing is height everyone is looking for a tall, fast, stomach-dropping ride."
401,Then it will have a gassed-powered start to make it go from 0-70 in 1-2 seconds(We will give a warning of course).
440,The PE and KE change and transfer to one another but never is destroyed.
454,E1R: The initial drop height of my roller coaster design is 5 meters tall.
270,At 60 kg it had 2934 J at the top of the initial drop.
800,This was because the track was friction less.
609,"As the car goes down the tracks, energy is converted from PE to KE and back again but the total energy always stays the same."
526,"However, when the hill height was 3 meters high it went over the hill."
416,Before making the ride we made many tests and we lowered the total energy from 3000J to 2400J to make the ride safe for others.
329,According to my trials the hill of 3m had 1768J of potential energy and 582J of kinetic where as 4.5 had 2276J potential energy but only 73J of kinetic energy.
712,There we go!
167,When going down there will be lots of PE and a lot of KE.
177,Then there is a hill that you go up at at a 90 degree angle.
224,"(If included)
- Make sure the car gets enough energy to make it through the end."
306,E1: Dear Gonzalez family
8,in the simulation i used had no friction so there was no heat or sound energy.
342,"In my data the initial drop of 3m had 1465J of Kinetic energy at the end of the drop, where the 5m initial drop had 2930J of kinetic energy."
642,"Since the top of the loop is lower than the initial drop, the car will be able to make it over."
461,When I drop the car at 5.00m height the PE at the top was 2443j.
626,and at the bottom it had 0 PE the Ke had 0 at the top and at the bottom it had 2668 Ke this shows that the PE gave Ke all the energy.
451,I know that in the real world there is friction to account for.
443,Because if the hill is the same or taller than the initial drop the car wouldn't have the energy to make it up the hill.
400,Then they will move into a room where they take an elevator to a platform where the ride starts.
203,Lets make a roller coaster that uses physics.
296,This makes it speed it and slow down
56,As previously explained to have the best experience you need a lot of energy and the mass of 60 kg does that.
55,"However the lowest mass we tested of 40 kg with every other aspect also remaining the same, we saw a potential energy of 1959 J."
125,"For instance, if the initial drop height is 4.59 and the hill height is 5.00, the coaster cart won't be able to go over the hill."
667,We can see how the initial drop height has an effect on energy using data from Initial Drop.
744,E1: My team and I have come up with a couple ideas for the roller coaster for you and your family's park.
116,"At the top of the initial drop, the potential energy would be 2243, while the kinetic energy would be at 0."
15,but if you have more mass then there is more friction so it might not ride as smooth.
278,We might want our initial drop height to be pretty tall it would create lots of Potential energy at the top of the drop and it will turn into ken-tic energy at the bottom.
701,"My roller coaster design's drop height is higher than the highest point along the ride, as stated previously."
728,So we can infer that the hill has to be a smaller height than your initial drop.
593,This data shows that the car has enough energy to make it up and over the hill and will make it to the end of the ride.
356,"Showing that when the height goes up, so does the total energy."
784,"This shows like that I said, the more height there is the more energy there will be, making it so the roller coaster can make it until the end."
706,We can see how the coaster car has more energy using data from Mass & Energy.
769,"Height and PE have a direct relationship meaning that if the height goes down the PE goes down, and if the height goes up the PE goes up."
140,"E1R: In order to have a safe and exiting ride you will need to have an initial drop, a hill, and mass and energy."
544,The car at the top of the hill stopped has all of its energy as potential energy waiting to be spent.
430,"In conclusion, there are a few steps you need to follow in order to make the roller coaster ride as fun as possible."
554,You must ensure you have enough energy to get over the hills.
132,when the height of the hill was 5 (same) the car didn't go over the hill.
28,in the simulation i used had no friction so there was no heat or sound energy.
314,"First, we did the initial drop we learned that potential energy turned into kinetic energy as stated in trials 1,2,3, and 4 in trial 1 there was 2443 pe and 0 ke but at the bottom, there were 2443 ke and 0 pe."
462,"At the bottom, the KE was 2442j."
512,At the bottom of a drop the KE was the same as the PE at the top of the drop with no friction.
327,"I recommend a height of about 3m, you maybe wondering why it can't be higher then the intial car , and we'll it can but then the coaster car can't make it over the hill, not allowing it to finish the track."
325,"As you can see the greater height allowed for the potential energy to change into kinetic energy with more than the smaller height amount, making the greater height a better option for your roller coasters intial drop."
427,"In a frictionless environment, it will put in the exact same amount of energy going down the initial drop as it will going up the hill, meaning it is unable to get over the hill."
352,Whereas the amount the car with a mass of 60kg had 2934J of potential energy at the initial drop height.
200,"E1: Hello Gonzales family, I will be talking about how our roller coaster design will be the best for your entertainment."
380,It's also worth mentioning that the two coaster cars had the same amount of total energy at 2449 js so the energy didn't have anything to do with the coaster car at the 5 m hill not going over.
326,The next part in your roller coaster is going to be a hill.
765,"Then at the bottom of the initial drop, the total energy was also 2,443 J."
294,At the bottom of the release drop now the PE is at 1(J) and the KE is at 1584(J).
10,both with a pe of 0 joules.
805,When you have greater mass it will always effect the PE and KE.
